date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:45	109498/109498	---M-Z	200	added ('OK')	text/html	etag:W/%2269156c82806696c095e12bbad439bd3f--gzip%22	https://www.techladder.io/	C:/My%20Web%20Sites/TechLadder_Website/Techladder/www.techladder.io/index.html	(from )
22:12:45	339/339	---M-Z	200	added ('OK')	text/plain	date:Wed,%2003%20Apr%202024%2022:20:41%20GMT	https://www.techladder.io/robots.txt		(from )
22:12:46	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2004%20Apr%202024%2002:12:46%20GMT	http://static1.squarespace.com/static/5dbf48651ece6c59d3759a0f/t/5dd1e5afd6c0de799e48345a/1574036912579/logohighres.jpg?format=1500w	C:/My%20Web%20Sites/TechLadder_Website/Techladder/static1.squarespace.com/static/5dbf48651ece6c59d3759a0f/t/5dd1e5afd6c0de799e48345a/1574036912579/logohighres.026f7.delayed	(from https://www.techladder.io/)
22:12:46	9313/9313	---M--	200	added ('OK')	image/jpeg	etag:CMb6y7a7nu0CEAE=	https://images.squarespace-cdn.com/content/5dbf48651ece6c59d3759a0f/1574036911051-VK4VVW36OZ6DL5LZLKHL/logohighres.jpg?content-type=image%2Fjpeg	C:/My%20Web%20Sites/TechLadder_Website/Techladder/../images/TechLadder_Logo.jpg	(from https://www.techladder.io/)
22:12:46	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.techladder.io/)
22:12:47	22418/22418	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Apr%202024%2002:12:47%20GMT	http://use.typekit.net/ik/wjW_9gVkp-Hy4dGb6XwCNk-ztHBxanwgThy3-N0xNpXfeCJBfFHN4UJLFRbh52jhWDmqjcjX52juwAmRZQZRFQ8qwDSu5AI3Zy7YMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0jhyTieN0OWg8de8RjAtl-2jkZKoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeFG-WszdKu3ZAUTjhB0OA6hwcj0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifU0pWs3OcFzdPUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoR-e8XdhtlSemC-AFydKuGFR4cO1FUiABkZWF3jAF8OcFzdPUaiaS0d18XSfoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXKfcuTdc8zdKu3ScvKfAZuiYmkjPu3ifJKZcjlZhNzZfuGZABqde80ZPuaZAJlSY4zOAFzdcs8d1F8ZfG4fHIuIMMjgfMfH6qJ1D9bMg6BJMJ7fbKSFsMMeMS6MKG4f4tuIMMj2KMfH6qJ1Q9bMg6sJMJ7fbKImsMgeMb6MKG4fVN9IMIjgPMfH6qJt1qbMs6eJMJ7fbKgmsMgeMS6MKG4fJimIMIjffMfH6qJym9bMs65JMJ7fbKfmsMgegI6MKG4fJymIMIjIKMfH6qJ1IwbMy6IJMJ7fbK6bUMfeM96MKG4f4T2IMJjgkMfH6qJcIwbMy64JMJ7fbKybUMfeMv6MKG4f4l2IMJjIPMfqMYMaiDNgb.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/use.typekit.net/ik/wjW_9gVkp-Hy4dGb6XwCNk-ztHBxanwgThy3-N0xNpXfeCJBfFHN4UJLFRbh52jhWDmqjcjX52juwAmRZQZRFQ8qwDSu5AI3Zy7YMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu	(from https://www.techladder.io/)
22:12:51	44096/44096	---M-Z	200	added ('OK')	text/javascript	etag:%22738cd09d4bddc38979a268748b604438%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5e360515023da814834d-min.en-US.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5e360515023da814834d-min.en-US.js	(from https://www.techladder.io/)
22:12:51	90266/90266	---M-Z	200	added ('OK')	text/javascript	etag:%2239aababd86f4bd0ebdd34b5af5914307%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	(from https://www.techladder.io/)
22:12:52	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.techladder.io/)
22:13:04	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%2204c48090d291ab1dc5800b959e7785a7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5a7027cd34a39ac0a126-min.en-US.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5a7027cd34a39ac0a126-min.en-US.js	(from https://www.techladder.io/)
22:13:07	41313/41313	---M-Z	200	added ('OK')	text/javascript	etag:%22bd50413ac926c9feeac99e3313dc03dc%22	http://assets.squarespace.com/universal/scripts-compressed/performance-4c0b9e8fb6eca6c1a294-min.en-US.js	C:/My%20Web%20Sites/TechLadder_Website/Techladder/assets.squarespace.com/universal/scripts-compressed/performance-4c0b9e8fb6eca6c1a294-min.en-US.js	(from https://www.techladder.io/)
